STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;NSH_TAG;eor
       1046;20200826;    3;   0.6;   4;-999;-999;eor
       1046;20200827;    3;   1.5;   4;-999;-999;eor
       1046;20200828;    3;   0.1;   4;-999;-999;eor
       1046;20200829;    3;   0.6;   4;-999;-999;eor
       1046;20200830;    3;   0.0;   0;-999;-999;eor
       1046;20200831;    3;   0.0;   0;-999;-999;eor
       1046;20200901;    3;   0.1;   4;-999;-999;eor
       1046;20200902;    3;   0.0;   4;-999;-999;eor
       1046;20200903;    3;   7.2;   4;-999;-999;eor
       1046;20200904;    3;   6.1;   4;-999;-999;eor
       1046;20200905;    3;   6.1;   4;-999;-999;eor
       1046;20200906;    3;   0.0;   0;-999;-999;eor
       1046;20200907;    3;   0.0;   0;-999;-999;eor
       1046;20200908;    3;   0.0;   0;-999;-999;eor
       1046;20200909;    3;   0.4;   4;-999;-999;eor
       1046;20200910;    3;   0.0;   0;-999;-999;eor
       1046;20200911;    3;   0.0;   0;-999;-999;eor
       1046;20200912;    3;   0.0;   0;-999;-999;eor
       1046;20200913;    3;   0.0;   0;-999;-999;eor
       1046;20200914;    3;   0.0;   0;-999;-999;eor
       1046;20200915;    3;   0.0;   0;-999;-999;eor
       1046;20200916;    3;   0.0;   0;-999;-999;eor
       1046;20200917;    3;   0.0;   0;-999;-999;eor
       1046;20200918;    3;   0.0;   0;-999;-999;eor
       1046;20200919;    3;   0.0;   0;-999;-999;eor
       1046;20200920;    3;   0.0;   0;-999;-999;eor
       1046;20200921;    3;   0.0;   0;-999;-999;eor
       1046;20200922;    3;   0.0;   0;-999;-999;eor
       1046;20200923;    3;   2.1;   4;-999;-999;eor
       1046;20200924;    3;   2.6;   4;-999;-999;eor
       1046;20200925;    3;   0.4;   4;-999;-999;eor
       1046;20200926;    3;  19.6;   4;-999;-999;eor
       1046;20200927;    3;   0.1;   4;-999;-999;eor
       1046;20200928;    3;   0.3;   4;-999;-999;eor
       1046;20200929;    3;   1.3;   4;-999;-999;eor
       1046;20200930;    3;   0.0;   4;-999;-999;eor
       1046;20201001;    3;   3.0;   4;   0;   0;eor
       1046;20201002;    3;   0.0;   4;   0;   0;eor
       1046;20201003;    3;   3.9;   4;   0;   0;eor
       1046;20201004;    3;   0.3;   4;   0;   0;eor
